time,open,high,low,close,tick_volume,spread,real_volume
7/5/2022 0:00,1.04198,1.04208,1.04075,1.04202,380,29,0
7/5/2022 1:00,1.04197,1.0428,1.04197,1.04273,2339,2,0
7/5/2022 2:00,1.04273,1.0436,1.04263,1.04326,2087,1,0
7/5/2022 3:00,1.04324,1.04356,1.04271,1.04339,3834,0,0
7/5/2022 4:00,1.04338,1.04381,1.04231,1.04351,4762,0,0
7/5/2022 5:00,1.04352,1.04355,1.04285,1.04296,3142,0,0
7/5/2022 6:00,1.04295,1.04368,1.04277,1.04345,2944,0,0
7/5/2022 7:00,1.04344,1.0438,1.04295,1.04379,3760,0,0
7/5/2022 8:00,1.04379,1.04488,1.04371,1.04427,3363,0,0
7/5/2022 9:00,1.04428,1.04428,1.04299,1.04359,5389,0,0
7/5/2022 10:00,1.04358,1.04399,1.03659,1.0375,11541,0,0
7/5/2022 11:00,1.0375,1.03758,1.03057,1.03072,11997,0,0
7/5/2022 12:00,1.03073,1.03248,1.02802,1.02956,9669,0,0
7/5/2022 13:00,1.02956,1.03065,1.02915,1.02998,7246,0,0
7/5/2022 14:00,1.02997,1.03037,1.02861,1.02961,6561,0,0
7/5/2022 15:00,1.0296,1.03012,1.02841,1.02919,9787,0,0
7/5/2022 16:00,1.02919,1.02936,1.02545,1.02613,11888,0,0
7/5/2022 17:00,1.02616,1.02669,1.02383,1.02423,11017,0,0
7/5/2022 18:00,1.02423,1.02613,1.02366,1.02538,8037,0,0
7/5/2022 19:00,1.02539,1.02555,1.02349,1.02452,5917,0,0
7/5/2022 20:00,1.02452,1.02573,1.02397,1.02525,3909,0,0
7/5/2022 21:00,1.02525,1.02708,1.02499,1.02618,4845,0,0
7/5/2022 22:00,1.02617,1.02713,1.0256,1.0266,4521,0,0
7/5/2022 23:00,1.02659,1.02693,1.02632,1.02656,1379,0,0
7/6/2022 0:00,1.02641,1.02675,1.02623,1.02641,604,7,0
7/6/2022 1:00,1.0264,1.02704,1.02629,1.02663,776,2,0
